time (ms),Cell 1,Cell 2,Cell 3,Cell 4,Cell 5,Cell 6,Cell 7,Cell 8,Cell 9,Cell 10,Cell 11,Cell 12,Cell 13,Cell 14,Cell 15,Current,SoC,Temperature 1,Temperature 2,Temperature 3,Temperature 4,UV\OV Fault,,
0.8,41540,41442,41488,41355,41356,41414,41412,41277,41532,41535,41502,41536,41583,41547,39794,0,0,58,59,57,56,0,,47
0.9,41541,41442,41487,41355,41355,41414,41414,41278,41532,41535,41504,41537,41584,41548,39794,0,0,60,59,55,56,0,,11
1,41542,41442,41489,41354,41355,41415,41413,41277,41531,41534,41503,41538,41585,41549,39794,0,0,59,59,58,56,0,,
1.1,41540,41442,41488,41356,41355,41414,41414,41278,41532,41535,41501,41536,41583,41547,39794,0,0,58,59,58,56,0,,
1.2,41540,41443,41488,41356,41356,41414,41412,41278,41530,41533,41503,41536,41583,41547,39794,0,0,59,58,56,55,0,,
1.3,41539,41443,41489,41356,41356,41415,41413,41277,41531,41535,41504,41536,41583,41547,39794,0,0,59,58,57,55,0,,
1.4,41540,41441,41488,41355,41355,41415,41414,41278,41532,41535,41503,41537,41584,41548,39794,0,0,59,58,55,56,0,,
1.5,41541,41442,41488,41356,41354,41414,41413,41277,41532,41534,41504,41538,41585,41549,39794,0,0,59,59,57,56,0,,
1.6,41540,41442,41488,41357,41356,41415,41414,41277,41532,41534,41504,41538,41585,41549,39794,0,0,59,59,56,56,0,,
1.7,41540,41441,41487,41356,41355,41414,41413,41278,41531,41535,41504,41538,41585,41549,39794,0,0,58,59,57,56,0,,
1.8,41540,41441,41486,41356,41356,41414,41414,41277,41532,41534,41503,41537,41584,41548,39794,0,0,58,58,56,56,0,,
1.9,41540,41441,41488,41355,41355,41414,41413,41278,41532,41535,41503,41537,41584,41548,39794,0,0,58,58,56,55,0,,
2,41540,41442,41488,41356,41355,41415,41413,41278,41530,41534,41502,41537,41584,41548,39794,0,0,58,59,57,57,0,,
2.1,41540,41442,41487,41355,41355,41414,41414,41279,41533,41534,41503,41538,41585,41549,39794,0,0,58,59,57,56,0,,
2.2,41540,41442,41488,41355,41356,41414,41413,41279,41531,41534,41503,41538,41585,41549,39794,0,0,58,58,57,56,0,,
2.3,41541,41441,41486,41354,41356,41415,41415,41279,41531,41534,41504,41537,41584,41548,39794,0,0,58,59,57,57,0,,
2.4,41540,41442,41488,41356,41356,41413,41413,41279,41533,41535,41505,41537,41584,41548,39794,0,0,58,58,58,56,0,,
2.5,41541,41440,41487,41357,41356,41415,41413,41278,41532,41534,41503,41536,41583,41547,39794,0,0,58,58,56,55,0,,
2.6,41541,41441,41488,41357,41355,41415,41413,41277,41532,41534,41503,41537,41584,41548,39794,0,0,58,59,55,57,0,,
2.7,41541,41443,41489,41356,41354,41414,41412,41278,41531,41535,41503,41538,41585,41549,39794,0,0,57,58,57,55,0,,
2.8,41541,41442,41488,41355,41355,41415,41413,41278,41531,41535,41504,41537,41584,41548,39794,0,0,59,59,56,56,0,,
2.9,41540,41442,41488,41356,41356,41415,41415,41279,41533,41534,41503,41536,41583,41547,39794,0,0,60,60,56,56,0,,
3,41540,41441,41488,41355,41355,41415,41414,41278,41532,41534,41504,41538,41585,41549,39794,0,0,58,60,57,56,0,,
3.1,41541,41441,41487,41356,41356,41414,41413,41278,41531,41534,41504,41538,41585,41549,39794,0,0,58,59,57,56,0,,
3.2,41540,41441,41487,41355,41356,41414,41413,41278,41531,41535,41503,41538,41585,41549,39794,0,0,59,58,57,56,0,,
3.3,41540,41442,41488,41356,41356,41415,41414,41278,41531,41534,41503,41538,41585,41549,39794,0,0,58,59,58,57,0,,
3.4,41540,41441,41487,41357,41356,41414,41413,41278,41531,41534,41503,41538,41585,41549,39794,0,0,59,59,56,56,0,,
3.5,41540,41441,41489,41355,41357,41414,41413,41278,41530,41533,41504,41538,41585,41549,39794,0,0,58,59,56,56,0,,
3.6,41541,41441,41487,41356,41356,41414,41413,41278,41531,41535,41502,41537,41584,41548,39794,0,0,60,59,58,56,0,,
3.7,41541,41441,41488,41356,41355,41414,41414,41278,41532,41536,41502,41538,41585,41549,39794,0,0,58,58,57,56,0,,
3.8,41540,41441,41487,41356,41355,41414,41414,41279,41532,41535,41504,41538,41585,41549,39794,0,0,59,59,57,55,0,,
3.9,41541,41443,41488,41356,41356,41414,41413,41278,41532,41533,41504,41537,41584,41548,39794,0,0,58,59,56,55,0,,
4,41540,41442,41488,41355,41355,41415,41413,41278,41532,41535,41503,41537,41584,41548,39794,0,0,59,58,56,56,0,,
4.1,41541,41441,41486,41356,41355,41414,41413,41278,41531,41535,41504,41536,41583,41547,39794,0,0,58,58,56,56,0,,
4.2,41541,41441,41487,41354,41355,41415,41414,41279,41531,41535,41504,41535,41582,41546,39794,0,0,59,60,56,55,0,,
4.3,41540,41441,41487,41356,41357,41415,41413,41278,41532,41536,41503,41538,41585,41549,39794,0,0,58,59,56,55,0,,
4.4,41540,41441,41487,41356,41355,41415,41414,41279,41531,41535,41502,41537,41584,41548,39794,0,0,58,58,56,55,0,,
4.5,41539,41441,41487,41356,41356,41413,41413,41279,41531,41534,41503,41537,41584,41548,39794,0,0,58,57,55,56,0,,
4.6,41540,41440,41487,41355,41355,41415,41413,41278,41531,41534,41503,41538,41585,41549,39794,0,0,59,58,56,56,0,,
4.7,41540,41441,41487,41354,41356,41415,41414,41278,41531,41534,41503,41538,41585,41549,39794,0,0,59,58,58,57,0,,
4.8,41540,41440,41486,41355,41354,41414,41414,41278,41531,41534,41503,41537,41584,41548,39794,0,0,58,60,57,55,0,,
4.9,41540,41441,41488,41355,41354,41414,41414,41278,41532,41535,41503,41537,41584,41548,39794,0,0,59,57,58,56,0,,
5,41540,41442,41488,41355,41355,41413,41412,41278,41532,41535,41503,41537,41584,41548,39794,0,0,59,59,56,56,0,,
5.1,41541,41441,41487,41355,41354,41415,41413,41278,41531,41535,41503,41537,41584,41548,39794,0,0,57,59,56,56,0,,
5.2,41541,41441,41485,41356,41354,41414,41413,41278,41532,41534,41504,41536,41583,41547,39794,0,0,58,59,58,55,0,,
