time (ms),Cell 1,Cell 2,Cell 3,Cell 4,Cell 5,Cell 6,Cell 7,Cell 8,Cell 9,Cell 10,Cell 11,Cell 12,Cell 13,Cell 14,Cell 15,Current,SoC,Temperature 1,Temperature 2,Temperature 3,Temperature 4,UV\OV Fault
0,41031,41006,41018,40980,40968,41006,40984,40942,41059,41044,41028,41059,41046,41068,39841,00000,00000,12139,12190,12716,12866,0
0.1,41031,41006,41018,40980,40968,41006,40984,40942,41059,41044,41028,41059,41046,41068,39841,00000,00000,12139,12190,12716,12866,0
0.2,41030,41005,41018,40979,40965,41006,40983,40941,41058,41044,41027,41057,41043,41067,39838,00000,00000,12139,12190,12716,12866,0
0.30000000000000004,41031,41004,41017,40978,40965,41006,40983,40941,41057,41043,41028,41057,41043,41066,39838,00000,00000,12139,12190,12716,12866,0
0.4,41031,41005,41017,40979,40964,41006,40983,40941,41057,41044,41028,41058,41043,41065,39838,00000,00000,12139,12190,12716,12866,0
0.5,41030,41004,41017,40978,40965,41006,40983,40941,41057,41044,41027,41057,41044,41067,39838,00000,00000,12139,12190,12716,12866,0
0.6,41031,41004,41017,40978,40964,41005,40983,40940,41057,41044,41028,41058,41044,41067,39838,00000,00000,12139,12190,12716,12866,0
0.7,41031,41005,41018,40979,40964,41005,40983,40941,41058,41044,41028,41057,41043,41066,39838,00000,00000,12139,12190,12716,12866,0
0.7999999999999999,41030,41005,41017,40979,40965,41006,40983,40942,41057,41043,41028,41057,41044,41067,39838,00000,00000,12139,12190,12716,12866,0
0.8999999999999999,41031,41004,41017,40978,40964,41006,40983,40942,41057,41044,41028,41057,41043,41067,39838,00000,00000,12139,12190,12716,12866,0
0.9999999999999999,41030,41004,41017,40979,40964,41006,40983,40941,41058,41044,41027,41057,41043,41067,39838,00000,00000,12139,12190,12716,12866,0
1.0999999999999999,41031,41004,41017,40979,40965,41005,40983,40941,41057,41043,41026,41057,41044,41067,39838,00000,00000,12139,12190,12716,12866,0
1.2,41030,41005,41017,40978,40964,41006,40983,40941,41057,41044,41027,41057,41044,41067,39839,00000,00000,12139,12190,12716,12866,0
1.3,41031,41005,41017,40978,40964,41005,40983,40941,41058,41044,41027,41057,41043,41066,39838,00000,00000,12139,12190,12716,12866,0
1.4000000000000001,41031,41004,41018,40979,40965,41004,40983,40941,41057,41044,41028,41058,41043,41066,39839,00000,00000,12139,12190,12716,12866,0
1.5000000000000002,41031,41005,41017,40978,40964,41005,40982,40941,41057,41044,41027,41057,41043,41066,39839,00000,00000,12139,12190,12716,12866,0
1.6000000000000003,41031,41004,41017,40979,40964,41006,40984,40942,41058,41044,41028,41057,41043,41067,39838,00000,00000,12139,12190,12716,12866,0
1.7000000000000004,41030,41004,41017,40978,40965,41005,40984,40942,41058,41045,41028,41057,41043,41067,39838,00000,00000,12139,12190,12716,12866,0
1.8000000000000005,41032,41005,41018,40979,40965,41006,40984,40941,41058,41044,41028,41057,41043,41067,39838,00000,00000,12139,12190,12716,12866,0
1.9000000000000006,41031,41004,41017,40978,40966,41006,40984,40941,41057,41043,41028,41057,41043,41067,39838,00000,00000,12139,12190,12716,12866,0
2.0000000000000004,41031,41005,41017,40978,40965,41005,40983,40941,41057,41044,41027,41057,41044,41067,39838,00000,00000,12139,12190,12716,12866,0
2.1000000000000005,41030,41004,41016,40978,40964,41005,40983,40941,41057,41044,41027,41057,41043,41067,39837,00000,00000,12139,12190,12716,12866,0
2.2000000000000006,41031,41004,41017,40978,40965,41005,40982,40941,41057,41043,41027,41057,41043,41066,39838,00000,00000,12139,12190,12716,12866,0
2.3000000000000007,41031,41004,41016,40978,40965,41007,40984,40942,41057,41044,41028,41058,41043,41067,39838,00000,00000,12139,12190,12716,12866,0
2.400000000000001,41031,41005,41017,40978,40964,41005,40983,40941,41057,41044,41027,41058,41043,41066,39838,00000,00000,12139,12190,12716,12866,0
2.500000000000001,41030,41003,41017,40978,40964,41006,40983,40941,41057,41044,41026,41057,41043,41067,39838,00000,00000,12139,12190,12716,12866,0
2.600000000000001,41031,41005,41016,40978,40965,41005,40984,40941,41057,41044,41027,41057,41044,41066,39839,00000,00000,12139,12190,12716,12866,0
2.700000000000001,41031,41005,41016,40978,40965,41006,40984,40941,41056,41045,41027,41057,41043,41067,39838,00000,00000,12139,12190,12716,12866,0
2.800000000000001,41031,41004,41016,40978,40964,41005,40983,40941,41058,41044,41026,41057,41042,41067,39839,00000,00000,12139,12190,12716,12866,0
2.9000000000000012,41030,41004,41017,40979,40965,41005,40983,40941,41057,41044,41027,41057,41043,41066,39838,00000,00000,12139,12190,12716,12866,0
3.0000000000000013,41030,41003,41016,40978,40965,41005,40983,40941,41058,41044,41027,41057,41043,41067,39838,00000,00000,12139,12190,12716,12866,0
3.1000000000000014,41030,41004,41016,40978,40964,41006,40983,40940,41057,41044,41027,41056,41043,41067,39838,00000,00000,12139,12190,12716,12866,0
3.2000000000000015,41031,41005,41017,40978,40964,41006,40983,40941,41057,41045,41027,41057,41044,41067,39839,00000,00000,12139,12190,12716,12866,0
3.3000000000000016,41031,41004,41016,40978,40965,41006,40983,40941,41058,41044,41027,41056,41043,41067,39838,00000,00000,12139,12190,12716,12866,0
3.4000000000000017,41031,41004,41017,40979,40965,41005,40982,40940,41056,41044,41027,41056,41043,41067,39837,00000,00000,12139,12190,12716,12866,0
3.5000000000000018,41030,41004,41017,40978,40964,41006,40983,40942,41058,41044,41028,41058,41044,41067,39839,00000,00000,12139,12190,12716,12866,0
3.600000000000002,41031,41004,41016,40978,40964,41005,40983,40941,41057,41044,41027,41057,41043,41066,39838,00000,00000,12139,12190,12716,12866,0
3.700000000000002,41031,41004,41016,40978,40964,41005,40982,40941,41057,41043,41028,41058,41045,41067,39838,00000,00000,12139,12190,12716,12866,0
3.800000000000002,41031,41004,41017,40978,40965,41005,40983,40941,41057,41044,41028,41057,41042,41066,39838,00000,00000,12139,12190,12716,12866,0
3.900000000000002,41030,41005,41017,40979,40965,41005,40983,40941,41057,41044,41027,41057,41044,41067,39838,00000,00000,12139,12190,12716,12866,0
4.000000000000002,41030,41004,41017,40978,40965,41005,40982,40940,41057,41044,41028,41058,41044,41068,39837,00000,00000,12139,12190,12716,12866,0
4.100000000000001,41030,41004,41017,40979,40965,41006,40982,40941,41057,41044,41027,41057,41043,41067,39838,00000,00000,12139,12190,12716,12866,0
4.200000000000001,41031,41005,41016,40978,40964,41006,40984,40941,41057,41045,41027,41057,41043,41067,39838,00000,00000,12139,12190,12716,12866,0
4.300000000000001,41031,41004,41017,40978,40964,41006,40983,40941,41057,41044,41027,41057,41044,41066,39837,00000,00000,12139,12190,12716,12866,0
4.4,41031,41004,41016,40979,40964,41005,40983,40941,41058,41044,41027,41057,41044,41067,39838,00000,00000,12139,12190,12716,12866,0
4.5,41031,41005,41017,40978,40964,41005,40984,40941,41058,41045,41028,41057,41043,41068,39839,00000,00000,12139,12190,12716,12866,0
4.6,41030,41004,41016,40978,40964,41005,40983,40941,41057,41044,41027,41057,41043,41067,39838,00000,00000,12139,12190,12716,12866,0
4.699999999999999,41030,41004,41017,40978,40965,41006,40983,40941,41057,41045,41028,41058,41043,41066,39838,00000,00000,12139,12190,12716,12866,0
4.799999999999999,41030,41004,41017,40979,40965,41006,40983,40941,41057,41043,41027,41057,41043,41066,39838,00000,00000,12139,12190,12716,12866,0
4.899999999999999,41031,41005,41017,40979,40965,41005,40982,40941,41057,41044,41027,41056,41043,41066,39838,00000,00000,12139,12190,12716,12866,0
4.999999999999998,41030,41004,41017,40978,40964,41006,40983,40941,41057,41044,41028,41058,41045,41068,39839,00000,00000,12139,12190,12716,12866,0
5.099999999999998,41031,41005,41017,40979,40965,41006,40984,40941,41057,41044,41027,41057,41043,41067,39839,00000,00000,12139,12190,12716,12866,0
5.1999999999999975,41031,41004,41017,40978,40964,41005,40982,40940,41057,41044,41028,41057,41043,41066,39837,00000,00000,12139,12190,12716,12866,0
5.299999999999997,41031,41004,41017,40978,40964,41005,40982,40941,41056,41043,41028,41057,41043,41067,39838,00000,00000,12139,12190,12716,12866,0
5.399999999999997,41032,41004,41017,40978,40964,41006,40983,40941,41057,41045,41027,41057,41044,41067,39838,00000,00000,12139,12190,12716,12866,0
5.4999999999999964,41030,41004,41017,40978,40964,41006,40982,40941,41057,41044,41027,41057,41043,41066,39837,00000,00000,12139,12190,12716,12866,0
5.599999999999996,41031,41005,41017,40978,40964,41006,40984,40942,41057,41044,41026,41057,41043,41067,39838,00000,00000,12139,12190,12716,12866,0
5.699999999999996,41031,41004,41017,40978,40965,41005,40983,40941,41058,41044,41028,41057,41044,41067,39839,00000,00000,12139,12190,12716,12866,0
5.799999999999995,41031,41005,41017,40978,40964,41006,40982,40941,41057,41044,41027,41057,41044,41066,39838,00000,00000,12139,12190,12716,12866,0
5.899999999999995,41030,41004,41017,40978,40965,41005,40983,40940,41057,41044,41028,41058,41044,41068,39838,00000,00000,12139,12190,12716,12866,0
5.999999999999995,41030,41004,41016,40978,40965,41005,40983,40941,41056,41044,41028,41057,41043,41066,39837,00000,00000,12139,12190,12716,12866,0
6.099999999999994,41030,41005,41018,40979,40965,41006,40983,40942,41058,41044,41027,41057,41044,41067,39838,00000,00000,12139,12190,12716,12866,0
6.199999999999994,41031,41004,41016,40977,40964,41006,40983,40941,41057,41044,41027,41057,41041,41066,39837,00000,00000,12139,12190,12716,12866,0
6.299999999999994,41031,41004,41017,40978,40964,41005,40982,40940,41056,41044,41028,41057,41043,41066,39838,00000,00000,12139,12190,12716,12866,0
6.399999999999993,41030,41004,41017,40979,40964,41005,40984,40941,41057,41044,41028,41057,41043,41066,39838,00000,00000,12139,12190,12716,12866,0
6.499999999999993,41030,41004,41016,40978,40965,41005,40983,40941,41057,41044,41027,41058,41044,41067,39838,00000,00000,12139,12190,12716,12866,0
6.5999999999999925,41030,41004,41017,40978,40965,41006,40983,40941,41057,41044,41027,41057,41043,41067,39838,00000,00000,12139,12190,12716,12866,0
6.699999999999992,41032,41005,41017,40978,40965,41005,40983,40940,41056,41044,41028,41057,41043,41067,39838,00000,00000,12139,12190,12716,12866,0
6.799999999999992,41030,41004,41017,40978,40965,41005,40983,40941,41058,41045,41026,41057,41043,41066,39838,00000,00000,12139,12190,12716,12866,0
6.8999999999999915,41031,41004,41017,40978,40965,41005,40983,40942,41058,41044,41028,41057,41044,41067,39838,00000,00000,12139,12190,12716,12866,0
6.999999999999991,41025,41002,41015,40976,40962,40999,40980,40940,41055,41042,41022,41055,41042,41065,39838,00000,00000,12139,12190,12716,12866,0
7.099999999999991,41022,40996,41013,40973,40959,40996,40977,40938,41051,41038,41017,41051,41039,41062,39838,00000,00000,12139,12190,12716,12866,0
