time (ms),Current,State of Charge,Total Capacity (mAh),Average current (mA),Expected time,Actual time
0,486,948,1000,475.7148945,2.102099412,2.111861111
0.1,508,948,,,,
0.2,480,948,,,,
0.3,463,948,,,,
0.4,498,948,,,,
0.5,477,948,,,,
0.6,498,948,,,,
0.7,473,999,,,,
0.8,471,999,,,,
0.9,490,999,,,,
1,460,999,,,,
1.1,485,999,,,,
1.2,460,999,,,,
1.3,463,999,,,,
1.4,490,999,,,,
1.5,477,999,,,,
1.6,487,999,,,,
1.7,489,999,,,,
1.8,483,999,,,,
1.9,485,999,,,,
2,490,999,,,,
2.1,459,999,,,,
2.2,496,999,,,,
2.3,448,999,,,,
2.4,480,999,,,,
2.5,512,999,,,,
2.6,478,999,,,,
2.7,482,999,,,,
2.8,487,999,,,,
2.9,481,999,,,,
3,473,999,,,,
3.1,498,999,,,,
3.2,496,999,,,,
3.3,451,999,,,,
3.4,432,999,,,,
3.5,500,999,,,,
3.6,425,999,,,,
3.7,491,999,,,,
3.8,481,999,,,,
3.9,468,999,,,,
4,498,999,,,,
4.1,484,999,,,,
4.2,465,999,,,,
4.3,453,999,,,,
4.4,490,999,,,,
4.5,484,999,,,,
4.6,449,999,,,,
4.7,488,999,,,,
4.8,462,999,,,,
4.9,476,999,,,,
5,496,999,,,,
5.1,480,999,,,,
5.2,414,999,,,,
5.3,481,999,,,,
5.4,490,999,,,,
5.5,491,999,,,,
5.6,475,999,,,,
5.7,500,999,,,,
5.8,466,999,,,,
5.9,423,999,,,,
6,501,999,,,,
6.1,406,999,,,,
6.2,486,999,,,,
6.3,470,999,,,,
6.4,501,999,,,,
6.5,465,999,,,,
6.6,482,999,,,,
6.7,493,999,,,,
6.8,507,999,,,,
6.9,431,999,,,,
7,458,999,,,,
7.1,482,999,,,,
7.2,411,999,,,,
7.3,491,999,,,,
7.4,485,999,,,,
7.5,488,999,,,,
7.6,520,999,,,,
7.7,496,999,,,,
7.8,409,999,,,,
7.9,483,999,,,,
8,490,999,,,,
8.1,516,999,,,,
8.2,449,998,,,,
8.3,436,998,,,,
8.4,470,998,,,,
8.5,483,998,,,,
8.6,418,998,,,,
8.7,539,998,,,,
8.8,509,998,,,,
8.9,442,998,,,,
9,504,998,,,,
9.1,478,998,,,,
9.2,484,998,,,,
9.3,459,998,,,,
9.4,498,998,,,,
9.5,466,998,,,,
9.6,434,998,,,,
9.7,483,998,,,,
9.8,486,998,,,,
9.9,491,998,,,,
10,514,998,,,,
10.1,486,998,,,,
10.2,481,998,,,,
10.3,457,998,,,,
10.4,494,998,,,,
10.5,486,998,,,,
10.6,504,998,,,,
10.7,409,998,,,,
10.8,490,998,,,,
10.9,431,998,,,,
11,448,998,,,,
11.1,485,998,,,,
11.2,491,998,,,,
11.3,413,998,,,,
11.4,470,998,,,,
11.5,473,998,,,,
11.6,479,998,,,,
11.7,447,998,,,,
11.8,457,998,,,,
11.9,452,998,,,,
12,432,998,,,,
12.1,502,998,,,,
12.2,503,998,,,,
12.3,472,998,,,,
12.4,490,998,,,,
12.5,489,998,,,,
12.6,514,998,,,,
12.7,499,998,,,,
12.8,523,998,,,,
12.9,490,998,,,,
13,471,998,,,,
13.1,488,998,,,,
13.2,505,998,,,,
13.3,498,998,,,,
13.4,466,998,,,,
13.5,492,998,,,,
13.6,450,998,,,,
13.7,512,998,,,,
13.8,490,998,,,,
13.9,477,998,,,,
14,515,998,,,,
14.1,504,998,,,,
14.2,459,998,,,,
14.3,500,998,,,,
14.4,505,998,,,,
14.5,507,998,,,,
14.6,414,998,,,,
14.7,467,998,,,,
14.8,484,998,,,,
14.9,500,998,,,,
15,486,998,,,,
15.1,513,998,,,,
15.2,524,998,,,,
15.3,505,998,,,,
15.4,533,998,,,,
15.5,391,998,,,,
15.6,508,998,,,,
15.7,415,997,,,,
15.8,486,997,,,,
15.9,474,997,,,,
16,487,997,,,,
16.1,508,997,,,,
16.2,530,997,,,,
16.3,496,997,,,,
16.4,490,997,,,,
16.5,439,997,,,,
16.6,382,997,,,,
16.7,494,997,,,,
16.8,421,997,,,,
16.9,508,997,,,,
17,471,997,,,,
17.1,446,997,,,,
17.2,475,997,,,,
17.3,454,997,,,,
17.4,439,997,,,,
17.5,481,997,,,,
17.6,509,997,,,,
17.7,466,997,,,,
17.8,444,997,,,,
17.9,419,997,,,,
18,471,997,,,,
18.1,458,997,,,,
18.2,459,997,,,,
18.3,419,997,,,,
18.4,479,997,,,,
18.5,464,997,,,,
18.6,514,997,,,,
18.7,485,997,,,,
18.8,476,997,,,,
18.9,502,997,,,,
19,491,997,,,,
19.1,497,997,,,,
19.2,507,997,,,,
19.3,496,997,,,,
19.4,511,997,,,,
19.5,434,997,,,,
19.6,502,997,,,,
19.7,490,997,,,,
19.8,495,997,,,,
19.9,521,997,,,,
20,471,997,,,,
20.1,475,997,,,,
20.2,480,997,,,,
20.3,500,997,,,,
20.4,485,997,,,,
20.5,443,997,,,,
20.6,496,997,,,,
20.7,470,997,,,,
20.8,512,997,,,,
20.9,459,997,,,,
21,409,997,,,,
21.1,438,997,,,,
21.2,411,997,,,,
21.3,448,997,,,,
21.4,451,997,,,,
21.5,525,997,,,,
21.6,454,997,,,,
21.7,480,997,,,,
21.8,484,997,,,,
21.9,455,997,,,,
22,418,997,,,,
22.1,503,997,,,,
22.2,448,997,,,,
22.3,507,997,,,,
22.4,502,997,,,,
22.5,465,997,,,,
22.6,496,997,,,,
22.7,482,997,,,,
22.8,467,997,,,,
22.9,439,997,,,,
23,459,997,,,,
23.1,410,997,,,,
23.2,432,997,,,,
23.3,467,997,,,,
23.4,523,996,,,,
23.5,436,996,,,,
23.6,441,996,,,,
23.7,494,996,,,,
23.8,498,996,,,,
23.9,465,996,,,,
24,437,996,,,,
24.1,457,996,,,,
24.2,400,996,,,,
24.3,372,996,,,,
24.4,386,996,,,,
24.5,428,996,,,,
24.6,419,996,,,,
24.7,446,996,,,,
24.8,421,996,,,,
24.9,428,996,,,,
25,406,996,,,,
25.1,453,996,,,,
25.2,412,996,,,,
25.3,429,996,,,,
25.4,455,996,,,,
25.5,370,996,,,,
25.6,445,996,,,,
25.7,502,996,,,,
25.8,429,996,,,,
25.9,437,996,,,,
26,454,996,,,,
26.1,418,996,,,,
26.2,415,996,,,,
26.3,382,996,,,,
26.4,420,996,,,,
26.5,428,996,,,,
26.6,490,996,,,,
26.7,448,996,,,,
26.8,490,996,,,,
26.9,511,996,,,,
27,480,996,,,,
27.1,486,996,,,,
27.2,470,996,,,,
27.3,503,996,,,,
27.4,489,996,,,,
27.5,501,996,,,,
27.6,488,996,,,,
27.7,497,996,,,,
27.8,479,996,,,,
27.9,521,996,,,,
28,382,996,,,,
28.1,455,996,,,,
28.2,421,996,,,,
28.3,416,996,,,,
28.4,428,996,,,,
28.5,465,996,,,,
28.6,427,996,,,,
28.7,472,996,,,,
28.8,467,996,,,,
28.9,486,996,,,,
29,497,996,,,,
29.1,510,996,,,,
29.2,490,996,,,,
29.3,392,996,,,,
29.4,514,996,,,,
29.5,521,996,,,,
29.6,508,996,,,,
29.7,485,996,,,,
29.8,417,996,,,,
29.9,480,996,,,,
30,515,996,,,,
30.1,422,996,,,,
30.2,491,996,,,,
30.3,503,996,,,,
30.4,490,996,,,,
30.5,481,996,,,,
30.6,486,996,,,,
30.7,527,996,,,,
30.8,515,996,,,,
30.9,496,996,,,,
31,450,996,,,,
31.1,505,996,,,,
31.2,496,995,,,,
31.3,439,995,,,,
31.4,455,995,,,,
31.5,510,995,,,,
31.6,452,995,,,,
31.7,503,995,,,,
31.8,490,995,,,,
31.9,519,995,,,,
32,396,995,,,,
32.1,480,995,,,,
32.2,432,995,,,,
32.3,445,995,,,,
32.4,495,995,,,,
32.5,513,995,,,,
32.6,446,995,,,,
32.7,490,995,,,,
32.8,494,995,,,,
32.9,471,995,,,,
33,460,995,,,,
33.1,452,995,,,,
33.2,427,995,,,,
33.3,490,995,,,,
33.4,466,995,,,,
33.5,465,995,,,,
33.6,463,995,,,,
33.7,503,995,,,,
33.8,513,995,,,,
33.9,477,995,,,,
34,503,995,,,,
34.1,398,995,,,,
34.2,504,995,,,,
34.3,482,995,,,,
34.4,440,995,,,,
34.5,511,995,,,,
34.6,473,995,,,,
34.7,445,995,,,,
34.8,509,995,,,,
34.9,473,995,,,,
35,478,995,,,,
35.1,465,995,,,,
35.2,460,995,,,,
35.3,487,995,,,,
35.4,485,995,,,,
35.5,487,995,,,,
35.6,470,995,,,,
35.7,478,995,,,,
35.8,473,995,,,,
35.9,491,995,,,,
36,395,995,,,,
36.1,482,995,,,,
36.2,464,995,,,,
36.3,512,995,,,,
36.4,501,995,,,,
36.5,520,995,,,,
36.6,494,995,,,,
36.7,487,995,,,,
36.8,430,995,,,,
36.9,440,995,,,,
37,486,995,,,,
37.1,484,995,,,,
37.2,510,995,,,,
37.3,484,995,,,,
37.4,502,995,,,,
37.5,454,995,,,,
37.6,451,995,,,,
37.7,409,995,,,,
37.8,509,995,,,,
37.9,475,995,,,,
38,486,995,,,,
38.1,485,995,,,,
38.2,461,995,,,,
38.3,488,995,,,,
