time (ms),Cell 1,Cell 2,Cell 3,Cell 4,Cell 5,Cell 6,Cell 7,Cell 8,Cell 9,Cell 10,Cell 11,Cell 12,Cell 13,Cell 14,Cell 15,Current,SoC,Temperature 1,Temperature 2,Temperature 3,Temperature 4,UV\OV Fault,,Temperature 1,Temperature 2,Temperature 3,Temperature 4,,,,Vin,30000
0,41641,41527,41580,41429,41435,41498,41497,41350,41640,41643,41614,41647,41700,41653,40698,0,0,15385,15156,15127,14693,0,,23.67580349,24.46211911,24.56196813,26.06433376,,,,b,3428
0.1,41640,41524,41581,41429,41433,41497,41497,41349,41639,41643,41611,41647,41700,41653,40698,0,0,15391,15164,15124,14694,0,,23.65525055,24.43458567,24.57230097,26.06085356,,,,To,298
0.2,41641,41527,41580,41429,41434,41497,41497,41349,41639,41643,41611,41647,41700,41653,40698,0,0,15398,15170,15121,14696,0,,23.63127517,24.41393873,24.58263449,26.05389344,,,,T,333
0.3,41640,41526,41581,41428,41434,41497,41498,41349,41639,41644,41611,41646,41700,41653,40698,0,0,15405,15177,15118,14696,0,,23.60730307,24.38985401,24.59296869,26.05389344,,,,,
0.4,41641,41526,41581,41428,41433,41498,41499,41349,41639,41643,41612,41647,41700,41653,40698,0,0,15412,15183,15116,14699,0,,23.58333425,24.36921286,24.59985854,26.04345395,,,,,
0.5,41641,41526,41580,41428,41434,41497,41498,41348,41639,41643,41611,41647,41700,41653,40698,0,0,15418,15189,15114,14699,0,,23.56279213,24.34857438,24.60674869,26.04345395,,,,,
0.6,41640,41527,41581,41428,41433,41496,41498,41349,41640,41643,41612,41647,41700,41653,40698,0,0,15425,15197,15112,14700,0,,23.53882935,24.32106053,24.61363915,26.03997429,,,,,
0.7,41639,41525,41582,41429,41434,41497,41498,41350,41640,41643,41612,41647,41700,41653,40698,0,0,15433,15204,15111,14700,0,,23.51144727,24.29698977,24.6170845,26.03997429,,,,,
0.8,41640,41527,41579,41429,41434,41496,41498,41350,41639,41644,41611,41645,41700,41653,40698,0,0,15439,15211,15110,14700,0,,23.49091348,24.2729226,24.62052992,26.03997429,,,,,
0.9,41641,41527,41581,41429,41434,41498,41498,41348,41639,41644,41613,41647,41700,41653,40698,0,0,15444,15217,15114,14702,0,,23.4738038,24.25229646,24.60674869,26.03301526,,,,,
1,41641,41527,41581,41429,41434,41497,41498,41350,41640,41643,41614,41647,41700,41653,40698,0,0,15449,15222,15116,14703,0,,23.45669575,24.23511,24.59985854,26.02953588,,,,,
1.1,41639,41526,41581,41429,41434,41496,41497,41350,41640,41644,41612,41646,41700,41653,40698,0,0,15454,15228,15119,14704,0,,23.43958933,24.21448866,24.58952388,26.02605659,,,,,
1.2,41642,41526,41580,41429,41434,41496,41497,41349,41640,41643,41612,41648,41700,41653,40698,0,0,15458,15232,15125,14707,0,,23.42590537,24.20074254,24.56885661,26.01561926,,,,,
1.3,41641,41527,41581,41429,41435,41497,41498,41349,41639,41642,41612,41648,41700,41653,40698,0,0,15464,15238,15128,14708,0,,23.40538138,24.18012555,24.558524,26.01214033,,,,,
1.4,41640,41527,41581,41429,41435,41497,41497,41349,41640,41643,41612,41646,41700,41653,40698,0,0,15468,15243,15135,14710,0,,23.39170002,24.1629467,24.53441724,26.00518273,,,,,
1.5,41640,41526,41582,41429,41435,41497,41498,41349,41639,41642,41612,41648,41700,41653,40698,0,0,15472,15248,15141,14712,0,,23.37801969,24.14576965,24.51375724,25.9982255,,,,,
1.6,41640,41526,41581,41429,41435,41497,41498,41348,41639,41643,41611,41646,41700,41653,40698,0,0,15476,15254,15148,14714,0,,23.36434039,24.12515957,24.48965735,25.99126863,,,,,
1.7,41640,41526,41580,41429,41435,41496,41497,41350,41640,41643,41611,41646,41700,41653,40698,0,0,15478,15258,15156,14718,0,,23.35750113,24.11142094,24.46211911,25.97735596,,,,,
1.8,41641,41526,41580,41429,41434,41498,41498,41348,41639,41643,41612,41647,41700,41653,40698,0,0,15482,15263,15164,14721,0,,23.34382338,24.09424927,24.43458567,25.9669224,,,,,
1.9,41640,41527,41581,41429,41434,41497,41498,41350,41639,41643,41610,41646,41700,41653,40698,0,0,15484,15267,15171,14724,0,,23.33698489,24.08051322,24.41049783,25.95648965,,,,,
2,41641,41527,41579,41428,41434,41498,41498,41350,41639,41643,41612,41646,41700,41653,40698,0,0,15487,15269,15179,14726,0,,23.32672764,24.07364563,24.38297333,25.94953492,,,,,
2.1,41639,41527,41579,41429,41433,41497,41498,41349,41640,41645,41611,41647,41700,41653,40698,0,0,15491,15269,15186,14731,0,,23.3130522,24.07364563,24.35889329,25.93214968,,,,,
2.2,41640,41527,41579,41427,41434,41497,41498,41350,41640,41643,41611,41646,41700,41653,40698,0,0,15493,15270,15194,14735,0,,23.30621486,24.07021193,24.33137767,25.91824309,,,,,
2.3,41640,41527,41582,41429,41434,41497,41497,41349,41640,41643,41612,41647,41700,41653,40698,0,0,15497,15269,15200,14740,0,,23.29254095,24.07364563,24.31074405,25.90086186,,,,,
2.4,41641,41525,41579,41428,41434,41498,41498,41348,41639,41642,41611,41647,41700,41653,40698,0,0,15501,15270,15207,14744,0,,23.27886807,24.07021193,24.28667483,25.88695848,,,,,
2.5,41641,41527,41581,41427,41434,41497,41497,41349,41639,41643,41612,41647,41700,41653,40698,0,0,15503,15269,15210,14749,0,,23.27203201,24.07364563,24.27636055,25.86958124,,,,,
2.6,41641,41526,41580,41429,41433,41497,41496,41349,41638,41644,41611,41646,41700,41653,40698,0,0,15506,15269,15214,14755,0,,23.26177839,24.07364563,24.2626092,25.84873148,,,,,
2.7,41640,41527,41580,41429,41434,41497,41497,41349,41639,41643,41611,41647,41700,41653,40698,0,0,15509,15271,15215,14758,0,,23.25152535,24.06677831,24.25917155,25.8383078,,,,,
2.8,41640,41527,41581,41429,41435,41497,41499,41350,41640,41645,41612,41645,41700,41653,40698,0,0,15512,15272,15215,14762,0,,23.24127287,24.06334476,24.25917155,25.82441079,,,,,
2.9,41640,41525,41580,41428,41434,41497,41498,41350,41639,41643,41613,41646,41700,41653,40698,0,0,15514,15274,15216,14767,0,,23.23443821,24.05647788,24.25573396,25.8070415,,,,,
3,41640,41527,41581,41428,41434,41496,41498,41348,41639,41644,41613,41647,41700,41653,40698,0,0,15518,15274,15215,14771,0,,23.22076963,24.05647788,24.25917155,25.79314766,,,,,
3.1,41640,41526,41581,41428,41434,41497,41499,41350,41638,41643,41611,41645,41700,41653,40698,0,0,15520,15276,15215,14773,0,,23.21393573,24.04961127,24.25917155,25.78620127,,,,,
3.2,41640,41527,41581,41429,41435,41496,41498,41349,41640,41643,41611,41646,41700,41653,40698,0,0,15522,15278,15217,14777,0,,23.20710207,24.04274495,24.25229646,25.77230953,,,,,
3.3,41641,41526,41580,41428,41434,41497,41498,41350,41639,41643,41612,41647,41700,41653,40698,0,0,15525,15280,15218,14781,0,,23.19685206,24.03587892,24.24885902,25.75841919,,,,,
3.4,41641,41526,41581,41428,41433,41497,41498,41350,41639,41643,41611,41647,41700,41653,40698,0,0,15527,15283,15220,14782,0,,23.19001903,24.02558039,24.24198436,25.75494683,,,,,
3.5,41639,41526,41581,41429,41434,41497,41497,41347,41639,41643,41611,41646,41700,41653,40698,0,0,15529,15284,15223,14785,0,,23.18318625,24.0221477,24.23167293,25.74453026,,,,,
3.6,41640,41527,41581,41429,41434,41496,41498,41350,41639,41643,41612,41646,41700,41653,40698,0,0,15531,15285,15224,14788,0,,23.17635373,24.01871507,24.22823593,25.73411448,,,,,
3.7,41641,41526,41580,41428,41434,41497,41497,41349,41639,41644,41612,41647,41700,41653,40698,0,0,15535,15287,15229,14791,0,,23.16268943,24.01185002,24.21105202,25.72369948,,,,,
3.8,41640,41527,41582,41429,41434,41498,41498,41350,41640,41644,41613,41647,41700,41653,40698,0,0,15537,15288,15233,14793,0,,23.15585766,24.0084176,24.1973062,25.71675658,,,,,
3.9,41640,41526,41580,41428,41435,41497,41497,41350,41639,41643,41612,41647,41700,41653,40698,0,0,15541,15289,15236,14795,0,,23.14219486,24.00498526,24.18699759,25.70981403,,,,,
4,41640,41526,41581,41428,41434,41497,41499,41350,41639,41644,41613,41647,41700,41653,40698,0,0,15543,15291,15240,14797,0,,23.13536383,23.99812078,24.17325379,25.70287183,,,,,
4.1,41640,41526,41581,41428,41434,41497,41498,41348,41639,41643,41611,41647,41700,41653,40698,0,0,15546,15293,15243,14800,0,,23.12511776,23.99125658,24.1629467,25.69245918,,,,,
4.2,41641,41527,41580,41429,41434,41497,41498,41350,41639,41643,41612,41646,41700,41653,40698,0,0,15548,15294,15247,14802,0,,23.11828736,23.98782458,24.14920492,25.68551785,,,,,
4.3,41640,41526,41581,41430,41434,41497,41498,41350,41639,41643,41611,41647,41700,41653,40698,0,0,15550,15296,15250,14806,0,,23.11145721,23.98096081,24.13889934,25.67163623,,,,,
4.4,41639,41526,41580,41428,41434,41497,41498,41348,41639,41644,41612,41647,41700,41653,40698,0,0,15553,15298,15252,14807,0,,23.10121244,23.97409731,24.13202931,25.66816604,,,,,
4.5,41640,41526,41579,41429,41433,41496,41499,41349,41639,41643,41612,41647,41700,41653,40698,0,0,15555,15302,15254,14810,0,,23.09438291,23.96037116,24.12515957,25.65775599,,,,,
4.6,41640,41527,41579,41428,41433,41497,41498,41349,41640,41643,41610,41645,41700,41653,40698,0,0,15557,15302,15256,14813,0,,23.08755362,23.96037116,24.11829011,25.64734673,,,,,
4.7,41640,41527,41580,41428,41434,41496,41499,41349,41639,41643,41612,41647,41700,41653,40698,0,0,15559,15305,15257,14816,0,,23.08072458,23.95007728,24.11485549,25.63693823,,,,,
4.8,41640,41526,41580,41428,41434,41496,41497,41350,41640,41643,41612,41647,41700,41653,40698,0,0,15560,15306,15258,14818,0,,23.07731015,23.94664613,24.11142094,25.62999967,,,,,
4.9,41641,41527,41580,41429,41434,41497,41499,41351,41639,41644,41612,41647,41700,41653,40698,0,0,15560,15304,15261,14819,0,,23.07731015,23.95350851,24.10111773,25.62653052,,,,,
5,41641,41526,41580,41428,41433,41497,41499,41348,41639,41644,41613,41647,41700,41653,40698,0,0,15558,15302,15265,14820,0,,23.08413907,23.96037116,24.08738111,25.62306145,,,,,
5.1,41640,41526,41580,41429,41434,41497,41499,41348,41639,41645,41612,41646,41700,41653,40698,0,0,15558,15301,15269,14824,0,,23.08413907,23.96380259,24.07364563,25.60918605,,,,,
5.2,41640,41526,41580,41428,41434,41496,41498,41349,41639,41644,41612,41647,41700,41653,40698,0,0,15556,15299,15274,14826,0,,23.09096823,23.97066567,24.05647788,25.60224887,,,,,
5.3,41640,41526,41580,41428,41433,41497,41498,41348,41639,41644,41612,41647,41700,41653,40698,0,0,15555,15296,15277,14828,0,,23.09438291,23.98096081,24.04617808,25.59531202,,,,,
5.4,41641,41527,41581,41429,41434,41497,41498,41350,41639,41643,41612,41648,41700,41653,40698,0,0,15553,15294,15280,14829,0,,23.10121244,23.98782458,24.03587892,25.59184373,,,,,
