"both balance, time (ms)",Cell 1,Cell 2,Cell 3,Cell 4,Cell 5,Cell 6,Cell 7,Cell 8,Cell 9,Cell 10,Cell 11,Cell 12,Cell 13,Cell 14,Cell 15
0,36056,35244,36471,36457,36382,35222,36504,36479,36188,36574,35600,36330,36287,36450,36645
0.1,36054,35244,36472,36456,36382,35222,36504,36479,36187,36573,35601,36331,36288,36449,36647
0.2,36055,35244,36471,36456,36382,35223,36505,36479,36187,36574,35601,36331,36287,36450,36646
0.30000000000000004,36055,35244,36471,36457,36382,35222,36504,36480,36187,36573,35600,36331,36287,36449,36645
0.4,36055,35244,36472,36458,36383,35222,36504,36479,36186,36573,35600,36331,36287,36449,36645
0.5,36054,35243,36471,36456,36382,35222,36504,36479,36186,36573,35600,36331,36288,36448,36644
0.6,36055,35244,36471,36458,36382,35221,36504,36479,36186,36573,35600,36331,36288,36449,36645
0.7,36054,35243,36470,36456,36382,35222,36504,36478,36186,36573,35599,36330,36287,36449,36645
0.7999999999999999,36054,35243,36470,36457,36382,35222,36504,36479,36186,36572,35600,36330,36287,36448,36645
0.8999999999999999,36054,35243,36470,36455,36381,35223,36504,36479,36186,36573,35600,36331,36287,36448,36645
0.9999999999999999,36054,35244,36470,36456,36381,35223,36504,36479,36187,36573,35600,36330,36286,36449,36645
1.0999999999999999,36055,35243,36471,36457,36382,35222,36503,36479,36187,36573,35599,36329,36285,36449,36645
1.2,36054,35243,36471,36456,36381,35223,36504,36479,36186,36573,35599,36330,36286,36449,36645
1.3,36055,35242,36470,36456,36381,35223,36504,36478,36186,36573,35600,36330,36287,36449,36645
1.4000000000000001,36053,35243,36470,36455,36381,35222,36504,36478,36185,36572,35600,36331,36286,36448,36644
1.5000000000000002,36054,35243,36471,36457,36381,35222,36503,36478,36186,36572,35599,36330,36286,36448,36644
1.6000000000000003,36054,35243,36471,36457,36381,35223,36504,36479,36186,36573,35599,36331,36286,36448,36645
1.7000000000000004,36054,35243,36470,36456,36381,35222,36503,36479,36185,36573,35599,36330,36286,36448,36644
1.8000000000000005,36054,35243,36471,36456,36380,35223,36504,36478,36186,36572,35599,36330,36287,36449,36645
1.9000000000000006,36053,35243,36470,36454,36381,35222,36503,36478,36184,36572,35598,36329,36285,36447,36644
2.0000000000000004,36054,35242,36470,36455,36381,35222,36503,36478,36186,36572,35600,36331,36286,36448,36643
2.1000000000000005,36053,35243,36470,36456,36380,35222,36503,36478,36185,36571,35599,36329,36286,36448,36644
2.2000000000000006,36054,35243,36470,36456,36380,35222,36504,36477,36185,36571,35597,36329,36285,36448,36645
2.3000000000000007,36053,35242,36469,36455,36380,35223,36503,36478,36186,36572,35599,36329,36285,36448,36644
2.400000000000001,36053,35242,36471,36455,36380,35222,36502,36477,36185,36572,35598,36329,36285,36446,36643
2.500000000000001,36053,35242,36470,36456,36380,35222,36503,36478,36186,36572,35598,36329,36286,36447,36644
2.600000000000001,36052,35242,36469,36455,36380,35222,36503,36478,36185,36572,35598,36329,36285,36447,36643
2.700000000000001,36053,35242,36469,36455,36380,35222,36502,36477,36185,36572,35598,36329,36285,36448,36644
2.800000000000001,36053,35242,36469,36453,36379,35222,36503,36478,36185,36572,35599,36329,36285,36446,36643
2.9000000000000012,36053,35242,36470,36455,36379,35222,36502,36477,36185,36572,35598,36329,36285,36447,36644
3.0000000000000013,36053,35242,36469,36456,36380,35222,36502,36477,36185,36571,35598,36329,36285,36447,36643
3.1000000000000014,36053,35242,36470,36455,36379,35223,36502,36477,36185,36571,35598,36329,36285,36447,36644
3.2000000000000015,36053,35242,36469,36455,36380,35222,36503,36477,36185,36571,35599,36329,36286,36447,36644
3.3000000000000016,36114,35265,36496,36480,36428,35171,36556,36503,36211,36595,35620,36355,36310,36470,36695
3.4000000000000017,36114,35265,36497,36481,36428,35171,36557,36503,36213,36595,35620,36356,36311,36472,36696
3.5000000000000018,36114,35265,36497,36481,36428,35170,36557,36504,36214,36596,35621,36356,36311,36472,36695
3.600000000000002,36115,35266,36498,36482,36428,35170,36557,36504,36213,36595,35620,36357,36310,36472,36695
3.700000000000002,36115,35267,36497,36482,36429,35171,36557,36504,36213,36596,35622,36357,36312,36473,36694
3.800000000000002,36114,35267,36498,36482,36429,35171,36558,36505,36213,36596,35622,36357,36313,36473,36697
3.900000000000002,36114,35266,36498,36482,36429,35171,36558,36505,36214,36596,35621,36356,36312,36473,36696
4.000000000000002,36115,35266,36497,36482,36429,35171,36558,36505,36214,36596,35621,36357,36312,36473,36697
4.100000000000001,36115,35266,36497,36482,36429,35169,36557,36504,36214,36596,35622,36357,36311,36473,36696
4.200000000000001,36114,35266,36498,36482,36429,35171,36558,36505,36214,36596,35621,36357,36312,36474,36696
4.300000000000001,36115,35267,36498,36481,36429,35171,36558,36505,36213,36596,35622,36358,36312,36472,36696
4.4,36115,35268,36498,36483,36429,35170,36559,36505,36214,36597,35622,36357,36312,36474,36696
4.5,36116,35268,36499,36483,36430,35171,36558,36505,36215,36598,35621,36358,36312,36474,36697
4.6,36116,35267,36498,36482,36430,35171,36559,36506,36215,36597,35623,36358,36312,36473,36697
4.699999999999999,36115,35266,36498,36483,36430,35169,36558,36505,36214,36596,35623,36358,36313,36474,36698
4.799999999999999,36115,35267,36499,36482,36431,35170,36559,36506,36214,36597,35622,36358,36313,36473,36698
4.899999999999999,36116,35267,36499,36483,36430,35171,36559,36504,36215,36597,35623,36359,36313,36474,36697
4.999999999999998,36116,35267,36498,36484,36431,35171,36559,36505,36215,36597,35623,36358,36313,36474,36697
5.099999999999998,36116,35267,36500,36483,36430,35170,36558,36505,36215,36597,35623,36358,36312,36474,36698
5.1999999999999975,36117,35268,36500,36484,36430,35171,36559,36506,36215,36598,35623,36358,36312,36473,36697
5.299999999999997,36116,35268,36500,36484,36431,35171,36559,36506,36215,36598,35623,36358,36313,36474,36696
5.399999999999997,36116,35267,36499,36483,36430,35170,36560,36506,36215,36598,35623,36358,36313,36474,36698
5.4999999999999964,36117,35269,36499,36484,36430,35171,36559,36506,36216,36598,35623,36358,36313,36474,36697
5.599999999999996,36117,35269,36499,36484,36431,35171,36559,36505,36216,36598,35622,36359,36313,36474,36697
5.699999999999996,36117,35268,36499,36484,36431,35170,36560,36506,36215,36598,35623,36359,36313,36475,36698
5.799999999999995,36117,35268,36499,36484,36431,35171,36560,36506,36216,36598,35623,36359,36313,36475,36698
5.899999999999995,36117,35269,36499,36483,36431,35171,36560,36506,36215,36598,35623,36359,36313,36474,36699
5.999999999999995,36116,35268,36500,36483,36431,35170,36559,36506,36215,36598,35623,36358,36313,36474,36697
6.099999999999994,36117,35268,36499,36484,36432,35170,36560,36506,36215,36598,35624,36360,36313,36475,36698
6.199999999999994,36117,35268,36500,36484,36431,35171,36560,36507,36216,36599,35623,36359,36313,36475,36699
6.299999999999994,36117,35269,36500,36484,36431,35170,36560,36507,36215,36597,35623,36359,36313,36475,36699
6.399999999999993,36117,35268,36500,36483,36431,35170,36560,36506,36215,36598,35623,36359,36313,36474,36698
6.499999999999993,36116,35268,36500,36483,36431,35170,36559,36506,36215,36599,35624,36359,36313,36474,36698
6.5999999999999925,36118,35268,36500,36484,36432,35171,36560,36507,36216,36598,35624,36359,36314,36475,36699
6.699999999999992,36117,35269,36500,36484,36431,35169,36561,36506,36216,36598,35625,36360,36314,36475,36698
6.799999999999992,36117,35268,36499,36484,36431,35171,36560,36506,36215,36599,35623,36359,36313,36475,36698
6.8999999999999915,36117,35268,36501,36484,36431,35170,36560,36507,36217,36598,35623,36359,36314,36475,36699
6.999999999999991,36117,35268,36500,36483,36431,35170,36560,36506,36215,36598,35624,36359,36313,36474,36698
7.099999999999991,36117,35268,36500,36485,36431,35170,36560,36507,36216,36598,35623,36359,36313,36474,36699
