time (ms),Cell 1,Cell 2,Cell 3,Cell 4,Cell 5,Cell 6,Cell 7,Cell 8,Cell 9,Cell 10,Cell 11,Cell 12,Cell 13,Cell 14,Cell 15,UV\OV Fault
0,40836,40844,40843,40857,40830,40825,40847,40823,40837,40832,40819,40851,40811,40855,40706,0
0.1,40835,40844,40843,40857,40831,40824,40848,40823,40837,40832,40817,40852,40812,40855,40704,0
0.2,40836,40846,40843,40857,40831,40826,40848,40824,40838,40832,40818,40852,40810,40855,40707,0
0.30000000000000004,40836,40845,40844,40856,40831,40826,40847,40823,40838,40832,40818,40852,40811,40856,40706,0
0.4,40836,40844,40843,40857,40830,40826,40847,40824,40838,40833,40818,40853,40811,40854,40707,0
0.5,40836,40844,40843,40857,40832,40825,40847,40824,40838,40832,40817,40852,40810,40856,40706,0
0.6,40836,40845,40843,40858,40832,40825,40847,40823,40838,40833,40817,40851,40810,40855,40706,0
0.7,40835,40844,40843,40856,40829,40825,40847,40822,40837,40832,40817,40851,40810,40855,40707,0
0.7999999999999999,40837,40844,40843,40857,40829,40825,40848,40823,40838,40832,40818,40852,40810,40855,40707,0
0.8999999999999999,40836,40845,40843,40856,40831,40825,40846,40823,40836,40831,40818,40851,40809,40855,40707,0
0.9999999999999999,40835,40844,40842,40856,40830,40824,40846,40823,40838,40832,40818,40852,40810,40855,40708,0
1.0999999999999999,40836,40844,40842,40856,40830,40825,40847,40824,40838,40832,40818,40851,40810,40854,40707,0
1.2,40836,40845,40842,40857,40832,40825,40847,40824,40838,40833,40819,40852,40810,40854,40708,0
1.3,40835,40845,40843,40857,40830,40825,40847,40824,40838,40832,40819,40851,40810,40855,40707,0
1.4000000000000001,40834,40843,40843,40856,40829,40824,40847,40824,40838,40833,40819,40850,40811,40856,40708,0
1.5000000000000002,40836,40845,40842,40857,40830,40825,40846,40823,40838,40831,40818,40852,40811,40855,40707,0
1.6000000000000003,40836,40845,40843,40857,40831,40823,40847,40823,40838,40833,40817,40851,40811,40855,40708,0
1.7000000000000004,40835,40844,40842,40857,40831,40824,40848,40823,40838,40831,40818,40852,40811,40857,40707,0
1.8000000000000005,40836,40845,40843,40857,40832,40824,40847,40823,40837,40832,40819,40852,40811,40855,40708,0
1.9000000000000006,40835,40845,40843,40856,40830,40824,40847,40823,40838,40832,40818,40850,40810,40855,40709,0
2.0000000000000004,40835,40844,40844,40857,40830,40825,40847,40823,40838,40832,40817,40852,40810,40853,40709,0
2.1000000000000005,40836,40844,40843,40856,40830,40824,40848,40823,40838,40832,40817,40850,40809,40854,40708,0
2.2000000000000006,40836,40844,40844,40856,40831,40825,40848,40823,40838,40831,40817,40852,40811,40854,40709,0
2.3000000000000007,40835,40844,40842,40857,40830,40824,40847,40823,40839,40833,40816,40852,40811,40855,40709,0
2.400000000000001,40835,40844,40842,40856,40830,40824,40847,40823,40838,40831,40817,40852,40811,40856,40710,0
2.500000000000001,40836,40845,40844,40856,40830,40824,40846,40823,40837,40832,40818,40853,40810,40855,40709,0
2.600000000000001,40835,40842,40843,40857,40830,40824,40847,40822,40839,40832,40817,40852,40810,40855,40710,0
2.700000000000001,40835,40843,40842,40856,40830,40824,40847,40824,40838,40833,40818,40851,40810,40855,40709,0
2.800000000000001,40835,40844,40842,40856,40831,40824,40847,40824,40837,40832,40818,40851,40810,40854,40709,0
2.9000000000000012,40837,40845,40843,40856,40830,40825,40847,40824,40838,40832,40818,40850,40809,40854,40709,0
3.0000000000000013,40836,40845,40843,40857,40830,40825,40847,40824,40838,40832,40819,40852,40809,40855,40710,0
3.1000000000000014,40836,40845,40844,40858,40831,40825,40847,40824,40837,40832,40819,40853,40810,40854,40711,0
3.2000000000000015,40836,40845,40843,40856,40830,40825,40847,40824,40837,40833,40817,40852,40810,40853,40710,0
3.3000000000000016,40837,40845,40841,40857,40830,40825,40846,40824,40838,40832,40817,40851,40810,40854,40710,0
3.4000000000000017,40836,40845,40844,40857,40830,40825,40847,40823,40838,40832,40818,40850,40810,40854,40710,0
3.5000000000000018,40836,40844,40844,40858,40830,40825,40846,40823,40839,40832,40818,40851,40810,40855,40710,0
3.600000000000002,40836,40845,40842,40856,40830,40825,40848,40823,40839,40832,40818,40852,40810,40853,40709,0
3.700000000000002,40836,40845,40842,40857,40831,40824,40846,40823,40838,40832,40819,40851,40810,40855,40711,0
3.800000000000002,40835,40844,40842,40857,40830,40825,40846,40824,40837,40832,40817,40851,40810,40855,40711,0
3.900000000000002,40835,40845,40844,40857,40830,40824,40847,40823,40839,40832,40816,40852,40810,40856,40711,0
4.000000000000002,40837,40845,40843,40856,40830,40824,40846,40823,40837,40831,40816,40852,40811,40856,40711,0
4.100000000000001,40835,40844,40842,40857,40831,40825,40846,40824,40837,40831,40818,40851,40811,40855,40712,0
4.200000000000001,40836,40845,40842,40856,40830,40826,40847,40823,40838,40832,40818,40851,40810,40856,40712,0
4.300000000000001,40837,40845,40844,40857,40830,40824,40847,40824,40838,40833,40817,40851,40811,40855,40712,0
4.4,40836,40845,40843,40857,40831,40825,40848,40823,40838,40833,40817,40851,40811,40854,40711,0
4.5,40836,40844,40842,40857,40830,40825,40847,40824,40837,40833,40818,40852,40810,40855,40712,0
4.6,40834,40843,40842,40856,40831,40825,40846,40823,40837,40832,40818,40852,40811,40856,40712,0
4.699999999999999,40837,40844,40842,40857,40831,40825,40847,40824,40838,40833,40817,40851,40812,40855,40712,0
4.799999999999999,40835,40846,40843,40857,40830,40826,40847,40823,40837,40832,40817,40852,40811,40855,40712,0
4.899999999999999,40836,40845,40843,40857,40830,40825,40848,40823,40837,40832,40818,40851,40811,40856,40712,0
4.999999999999998,40835,40845,40844,40857,40830,40825,40848,40824,40838,40831,40818,40852,40810,40855,40713,0
5.099999999999998,40836,40843,40842,40856,40830,40825,40847,40823,40838,40832,40817,40851,40810,40855,40713,0
5.1999999999999975,40836,40844,40843,40857,40831,40825,40847,40824,40838,40832,40817,40852,40810,40856,40714,0
5.299999999999997,40836,40845,40844,40856,40830,40825,40847,40824,40838,40832,40817,40850,40809,40855,40713,0
5.399999999999997,40836,40844,40843,40857,40831,40824,40847,40823,40838,40831,40817,40852,40811,40856,40714,0
5.4999999999999964,40835,40845,40843,40856,40831,40825,40846,40823,40838,40832,40818,40851,40810,40855,40715,0
5.599999999999996,40837,40844,40843,40857,40831,40825,40847,40823,40837,40832,40817,40851,40810,40855,40714,0
5.699999999999996,40835,40844,40843,40856,40830,40825,40847,40823,40838,40834,40818,40852,40811,40855,40715,0
5.799999999999995,40835,40844,40843,40857,40830,40825,40846,40822,40837,40832,40817,40852,40811,40856,40715,0
5.899999999999995,40835,40844,40843,40857,40831,40824,40847,40824,40838,40832,40817,40851,40810,40855,40715,0
5.999999999999995,40836,40844,40843,40857,40831,40825,40847,40823,40837,40832,40817,40851,40811,40855,40714,0
6.099999999999994,40836,40845,40843,40857,40830,40824,40847,40824,40837,40833,40817,40852,40810,40856,40714,0
6.199999999999994,40836,40844,40842,40857,40830,40823,40847,40823,40837,40832,40818,40851,40810,40854,40714,0
6.299999999999994,40835,40844,40844,40858,40832,40824,40847,40823,40838,40833,40818,40852,40810,40855,40714,0
6.399999999999993,40834,40843,40842,40857,40830,40824,40846,40823,40837,40833,40818,40852,40810,40855,40715,0
6.499999999999993,40834,40844,40842,40857,40829,40824,40847,40824,40838,40832,40818,40851,40810,40854,40715,0
6.5999999999999925,40836,40844,40844,40858,40830,40825,40847,40823,40839,40833,40817,40852,40810,40854,40714,0
6.699999999999992,40837,40845,40843,40856,40830,40825,40847,40823,40838,40833,40816,40851,40810,40854,40716,0
6.799999999999992,40836,40844,40842,40856,40831,40824,40846,40823,40837,40832,40819,40852,40810,40855,40715,0
6.8999999999999915,40836,40843,40842,40857,40830,40825,40847,40823,40838,40832,40818,40851,40811,40856,40714,0
6.999999999999991,40836,40845,40843,40857,40830,40825,40847,40823,40839,40833,40819,40854,40811,40855,40716,0
7.099999999999991,40835,40843,40842,40856,40830,40824,40847,40823,40838,40833,40818,40852,40810,40855,40716,0
7.19999999999999,40836,40843,40843,40856,40829,40825,40847,40823,40838,40833,40817,40853,40810,40855,40717,0
7.29999999999999,40836,40844,40843,40856,40831,40825,40847,40824,40839,40833,40817,40852,40811,40856,40717,0
7.39999999999999,40836,40845,40844,40857,40831,40826,40847,40823,40838,40832,40819,40853,40811,40856,40716,0
7.499999999999989,40836,40844,40842,40856,40830,40825,40847,40822,40838,40832,40817,40852,40810,40854,40715,0
7.599999999999989,40835,40844,40843,40856,40830,40825,40848,40824,40838,40831,40816,40851,40810,40855,40715,0
7.699999999999989,40835,40844,40843,40857,40831,40825,40848,40824,40838,40833,40817,40852,40811,40856,40717,0
7.799999999999988,40837,40844,40844,40857,40830,40824,40847,40824,40837,40833,40817,40852,40812,40854,40715,0
7.899999999999988,40837,40846,40844,40857,40830,40825,40847,40823,40838,40832,40818,40853,40811,40855,40717,0
7.999999999999988,40836,40844,40844,40856,40830,40825,40847,40824,40838,40832,40817,40852,40810,40854,40717,0
8.099999999999987,40836,40845,40844,40857,40830,40824,40847,40823,40838,40832,40817,40851,40809,40856,40716,0
8.199999999999987,40836,40845,40843,40857,40831,40824,40846,40823,40838,40832,40818,40852,40811,40855,40717,0
8.299999999999986,40835,40845,40844,40857,40830,40825,40847,40824,40839,40832,40818,40851,40810,40856,40717,0
8.399999999999986,40835,40844,40843,40857,40831,40825,40847,40823,40838,40832,40817,40850,40810,40857,40717,0
8.499999999999986,40836,40843,40843,40858,40831,40826,40848,40824,40837,40831,40817,40852,40809,40855,40716,0
8.599999999999985,40837,40845,40843,40858,40829,40825,40847,40824,40838,40833,40818,40853,40810,40855,40717,0
8.699999999999985,40836,40844,40843,40858,40831,40825,40848,40823,40838,40833,40818,40852,40811,40856,40720,0
8.799999999999985,40836,40844,40843,40858,40830,40825,40847,40824,40838,40832,40818,40851,40810,40855,40718,0
8.899999999999984,40836,40845,40844,40856,40830,40825,40847,40823,40838,40832,40818,40852,40811,40855,40720,0
8.999999999999984,40835,40845,40843,40857,40830,40824,40846,40823,40838,40833,40818,40851,40811,40855,40718,0
9.099999999999984,40837,40845,40844,40858,40831,40825,40847,40824,40837,40832,40819,40852,40812,40856,40718,0
9.199999999999983,40837,40844,40841,40856,40829,40825,40847,40824,40838,40832,40817,40851,40811,40855,40719,0
9.299999999999983,40836,40844,40843,40856,40830,40825,40848,40824,40839,40832,40818,40851,40810,40853,40717,0
9.399999999999983,40836,40846,40843,40857,40831,40825,40848,40824,40838,40831,40818,40852,40810,40855,40720,0
9.499999999999982,40834,40844,40842,40857,40830,40825,40847,40825,40839,40833,40819,40853,40810,40855,40718,0
9.599999999999982,40836,40845,40843,40856,40830,40825,40847,40824,40839,40832,40818,40852,40811,40855,40719,0
9.699999999999982,40835,40844,40843,40856,40830,40825,40848,40823,40839,40832,40818,40852,40811,40856,40720,0
