time (ms),Cell 1,Cell 2,Cell 3,Cell 4,Cell 5,Cell 6,Cell 7,Cell 8,Cell 9,Cell 10,Cell 11,Cell 12,Cell 13,Cell 14,Cell 15,
0,35157,35145,35175,35188,35187,35098,35187,35187,35186,35186,35185,35187,35185,35187,35186,35148
0.1,35157,35145,35175,35187,35187,35097,35186,35188,35186,35187,35187,35187,35186,35188,35187,35147
0.2,35156,35143,35175,35188,35187,35097,35186,35187,35186,35187,35187,35188,35186,35187,35187,35147
0.3,35156,35144,35175,35187,35186,35098,35187,35188,35187,35187,35187,35187,35186,35187,35186,35148
0.4,35156,35144,35175,35187,35187,35097,35186,35187,35186,35187,35187,35188,35185,35187,35187,35147
0.5,35157,35145,35175,35188,35187,35097,35186,35188,35186,35187,35187,35186,35186,35187,35188,35147
0.6,35157,35144,35175,35187,35186,35097,35186,35188,35186,35187,35187,35187,35187,35187,35187,35147
0.7,35157,35144,35175,35187,35186,35098,35187,35187,35186,35186,35187,35187,35186,35187,35187,35148
0.8,35156,35144,35175,35187,35187,35098,35186,35187,35187,35187,35187,35187,35186,35188,35186,35148
0.9,35157,35144,35175,35187,35187,35098,35187,35187,35185,35187,35187,35187,35187,35189,35187,35148
1,35156,35145,35175,35187,35186,35097,35186,35188,35187,35187,35187,35187,35186,35188,35188,35147
1.1,35156,35144,35175,35187,35187,35096,35186,35187,35186,35187,35187,35187,35186,35187,35187,35146
1.2,35157,35145,35176,35187,35187,35098,35186,35187,35186,35187,35186,35186,35185,35186,35186,35148
1.3,35156,35145,35175,35187,35187,35097,35187,35188,35186,35187,35187,35187,35186,35187,35187,35147
1.4,35156,35144,35175,35188,35186,35097,35186,35188,35186,35186,35186,35186,35185,35188,35186,35147
1.5,35156,35144,35174,35188,35186,35097,35186,35187,35186,35187,35187,35187,35187,35187,35187,35147
1.6,35156,35144,35175,35188,35186,35098,35187,35188,35187,35187,35187,35188,35186,35187,35187,35148
1.7,35158,35144,35175,35188,35187,35096,35185,35187,35185,35187,35187,35187,35185,35187,35187,35146
1.8,35156,35144,35175,35187,35187,35098,35186,35187,35187,35187,35187,35188,35186,35187,35187,35148
1.9,35157,35145,35176,35188,35187,35098,35187,35187,35187,35187,35186,35187,35186,35188,35187,35148
2,35156,35144,35175,35188,35187,35098,35187,35188,35187,35188,35187,35186,35186,35187,35187,35148
2.1,35156,35144,35175,35189,35187,35098,35186,35187,35187,35187,35187,35187,35186,35186,35187,35148
2.2,35156,35145,35176,35188,35187,35098,35187,35188,35186,35187,35187,35187,35186,35188,35187,35148
2.3,35157,35145,35175,35188,35188,35097,35187,35188,35186,35187,35188,35187,35186,35187,35187,35147
2.4,35157,35144,35175,35188,35187,35098,35186,35187,35187,35187,35186,35187,35185,35187,35187,35148
2.5,35157,35145,35176,35188,35187,35098,35187,35187,35186,35186,35186,35187,35186,35187,35186,35148
2.6,35156,35144,35175,35188,35187,35098,35187,35188,35186,35187,35187,35187,35185,35187,35186,35148
2.7,35158,35145,35175,35187,35187,35097,35186,35188,35187,35187,35186,35187,35186,35188,35187,35147
2.8,35157,35145,35175,35188,35187,35098,35187,35188,35186,35187,35187,35187,35185,35187,35187,35148
2.9,35157,35145,35176,35189,35187,35097,35187,35188,35187,35187,35187,35188,35186,35187,35187,35147
3,35158,35145,35175,35188,35187,35098,35187,35188,35187,35188,35186,35187,35186,35187,35186,35148
3.1,35156,35144,35175,35187,35186,35097,35186,35187,35186,35187,35187,35188,35186,35187,35187,35147
3.2,35158,35145,35175,35187,35187,35097,35186,35187,35186,35187,35187,35187,35186,35187,35187,35147
3.3,35157,35144,35176,35188,35187,35098,35187,35188,35187,35188,35188,35187,35186,35188,35186,35148
3.4,35157,35145,35175,35188,35187,35097,35186,35187,35186,35187,35187,35187,35186,35188,35187,35147
3.5,35157,35145,35176,35187,35186,35097,35186,35187,35186,35188,35188,35187,35186,35187,35187,35147
3.6,35156,35144,35175,35187,35186,35097,35186,35188,35187,35187,35187,35187,35186,35188,35186,35147
3.7,35157,35145,35175,35188,35187,35097,35186,35188,35187,35187,35187,35188,35186,35188,35187,35147
3.8,35155,35144,35175,35187,35187,35097,35186,35187,35186,35187,35188,35188,35187,35187,35187,35147
3.9,35157,35144,35174,35188,35187,35098,35187,35188,35186,35187,35187,35187,35185,35187,35187,35148
4,35157,35144,35175,35188,35187,35098,35187,35187,35186,35188,35186,35187,35185,35187,35187,35148
4.1,35157,35144,35175,35188,35187,35096,35186,35188,35187,35187,35186,35187,35185,35187,35187,35146
4.2,35157,35144,35176,35188,35187,35098,35187,35187,35186,35187,35186,35187,35185,35187,35187,35148
4.3,35157,35145,35175,35187,35186,35097,35186,35187,35186,35187,35187,35188,35186,35188,35186,35147
4.4,35157,35143,35174,35187,35186,35098,35187,35188,35186,35186,35187,35187,35186,35187,35186,35148
4.5,35158,35146,35175,35188,35187,35098,35186,35188,35186,35187,35185,35186,35186,35186,35187,35148
4.6,35156,35145,35175,35188,35187,35098,35187,35188,35186,35186,35187,35187,35186,35188,35187,35148
4.7,35158,35144,35175,35187,35187,35097,35186,35187,35187,35188,35186,35187,35186,35187,35187,35147
4.8,35156,35144,35175,35187,35186,35097,35187,35188,35187,35187,35187,35188,35186,35187,35186,35147
4.9,35157,35145,35175,35188,35187,35097,35187,35188,35186,35187,35186,35188,35187,35187,35188,35147
5,35156,35144,35175,35187,35187,35097,35186,35187,35186,35187,35187,35187,35187,35188,35187,35147
5.1,35157,35145,35175,35187,35186,35097,35187,35188,35187,35187,35186,35187,35186,35188,35187,35147
5.2,35157,35144,35175,35188,35186,35098,35186,35187,35186,35187,35187,35187,35186,35187,35186,35148
5.3,35156,35144,35174,35188,35187,35098,35187,35187,35187,35187,35187,35187,35186,35187,35186,35148
5.4,35157,35145,35176,35187,35187,35098,35187,35188,35186,35187,35186,35187,35186,35187,35187,35148
5.5,35156,35145,35174,35187,35187,35096,35186,35187,35186,35187,35187,35187,35186,35187,35187,35146
5.6,35156,35144,35175,35188,35187,35098,35187,35188,35186,35187,35186,35187,35186,35187,35186,35148
5.7,35157,35145,35175,35188,35187,35097,35187,35187,35187,35188,35187,35187,35186,35188,35187,35147
5.8,35156,35144,35174,35187,35187,35096,35186,35187,35186,35187,35186,35187,35187,35187,35186,35146
5.9,35156,35144,35175,35188,35187,35098,35186,35187,35186,35187,35187,35187,35185,35187,35186,35148
6,35156,35145,35175,35187,35187,35097,35186,35187,35186,35187,35186,35187,35186,35186,35187,35147
6.1,35156,35144,35175,35188,35186,35097,35186,35187,35186,35187,35186,35188,35186,35188,35187,35147
6.2,35157,35144,35174,35187,35186,35097,35187,35188,35186,35187,35186,35186,35186,35187,35186,35147
6.3,35157,35144,35174,35187,35187,35097,35187,35187,35187,35187,35187,35187,35186,35188,35187,35147
6.4,35157,35144,35175,35188,35187,35098,35187,35188,35187,35187,35188,35188,35186,35187,35187,35148
6.5,35157,35144,35175,35188,35187,35097,35187,35188,35187,35188,35187,35186,35186,35188,35186,35147
6.6,35157,35144,35175,35187,35186,35097,35187,35187,35186,35187,35187,35187,35186,35187,35186,35147
6.7,35157,35144,35175,35187,35186,35097,35187,35187,35186,35187,35187,35187,35186,35187,35186,35147
6.8,35156,35144,35175,35187,35186,35098,35186,35188,35186,35186,35188,35187,35186,35187,35186,35148
6.9,35156,35144,35174,35187,35187,35098,35187,35188,35186,35186,35187,35187,35186,35187,35187,35148
7,35157,35145,35175,35188,35187,35097,35186,35188,35186,35188,35187,35188,35185,35187,35187,35147
7.1,35157,35144,35175,35188,35188,35097,35187,35187,35186,35187,35186,35187,35186,35188,35187,35147
7.2,35157,35145,35175,35187,35186,35097,35186,35187,35186,35187,35187,35187,35186,35188,35187,35147
7.3,35157,35144,35175,35188,35187,35098,35186,35187,35186,35187,35186,35187,35186,35188,35187,35148
7.4,35156,35143,35174,35188,35186,35098,35187,35188,35186,35187,35186,35188,35185,35187,35187,35148
7.5,35156,35145,35175,35187,35186,35098,35186,35188,35186,35187,35187,35188,35187,35187,35186,35148
7.6,35156,35144,35174,35187,35187,35098,35187,35186,35186,35187,35186,35187,35186,35188,35187,35148
7.7,35157,35144,35175,35188,35187,35096,35187,35188,35186,35188,35186,35186,35186,35187,35187,35146
7.8,35156,35144,35176,35189,35187,35098,35186,35187,35186,35187,35187,35187,35185,35187,35186,35148
7.9,35156,35144,35175,35187,35187,35098,35187,35187,35186,35187,35187,35187,35186,35188,35186,35148
8,35156,35145,35175,35188,35186,35097,35186,35188,35186,35187,35187,35186,35185,35187,35186,35147
8.1,35157,35144,35175,35187,35186,35098,35188,35188,35187,35187,35188,35188,35187,35188,35187,35148
8.2,35156,35144,35175,35188,35187,35098,35186,35187,35186,35187,35186,35187,35186,35187,35187,35148
8.3,35156,35144,35175,35188,35187,35097,35186,35187,35186,35187,35186,35186,35185,35188,35187,35147
8.4,35156,35144,35174,35188,35187,35097,35186,35188,35187,35188,35187,35187,35187,35187,35186,35147
8.5,35153,35144,35174,35186,35185,35097,35184,35186,35184,35185,35182,35185,35184,35185,35185,35147
8.6,35152,35144,35172,35186,35184,35098,35183,35185,35182,35185,35182,35185,35183,35185,35184,35148
8.7,35152,35144,35173,35185,35184,35097,35183,35185,35183,35185,35181,35184,35184,35184,35184,35147
8.8,35152,35145,35172,35185,35183,35098,35183,35185,35182,35184,35181,35184,35183,35184,35184,35148
8.9,35151,35145,35172,35184,35183,35098,35184,35184,35183,35185,35181,35184,35183,35185,35184,35148
9,35151,35145,35172,35185,35183,35097,35183,35184,35182,35184,35180,35183,35183,35183,35184,35147
9.1,35150,35144,35171,35184,35183,35097,35183,35184,35182,35184,35181,35183,35182,35183,35184,35147
9.2,35151,35144,35172,35184,35182,35098,35183,35185,35182,35184,35180,35182,35182,35184,35184,35148
9.3,35150,35144,35170,35183,35182,35097,35182,35183,35181,35183,35179,35182,35182,35184,35183,35147
9.4,35151,35144,35171,35184,35183,35097,35182,35184,35181,35184,35179,35182,35182,35183,35183,35147
9.5,35150,35145,35171,35184,35182,35097,35183,35184,35181,35183,35180,35183,35182,35182,35183,35147
9.6,35150,35145,35171,35183,35183,35098,35182,35184,35181,35184,35179,35182,35181,35184,35183,35148
9.7,35149,35144,35171,35183,35182,35097,35183,35184,35181,35183,35179,35182,35181,35183,35183,35147
9.8,35150,35145,35170,35184,35182,35098,35183,35184,35182,35183,35180,35182,35182,35182,35183,35148
9.9,35150,35144,35170,35183,35182,35098,35182,35183,35181,35182,35179,35183,35181,35182,35183,35148
10,35149,35144,35171,35183,35182,35098,35182,35183,35181,35183,35178,35181,35181,35183,35182,35148
10.1,35150,35145,35170,35183,35182,35097,35181,35182,35181,35183,35180,35183,35181,35183,35182,35147
10.2,35150,35145,35170,35182,35181,35097,35181,35182,35180,35182,35179,35182,35181,35183,35182,35147
10.3,35150,35145,35170,35183,35181,35098,35181,35182,35180,35182,35179,35183,35181,35182,35182,35148
10.4,35148,35144,35170,35182,35180,35097,35181,35182,35180,35182,35178,35181,35180,35181,35182,35147
10.5,35149,35144,35170,35182,35181,35098,35181,35182,35180,35182,35178,35181,35181,35182,35182,35148
10.6,35148,35144,35169,35182,35181,35098,35180,35181,35179,35182,35178,35181,35180,35182,35182,35148
10.7,35150,35144,35169,35182,35181,35098,35181,35182,35180,35182,35178,35180,35180,35182,35182,35148
10.8,35148,35144,35169,35183,35181,35097,35181,35182,35180,35181,35178,35181,35180,35181,35180,35147
10.9,35148,35144,35169,35181,35181,35097,35181,35181,35179,35181,35178,35181,35181,35182,35181,35147
11,35149,35145,35169,35181,35180,35097,35180,35182,35179,35182,35178,35182,35180,35182,35181,35147
11.1,35148,35144,35169,35182,35180,35098,35181,35183,35180,35182,35178,35180,35180,35181,35181,35148
11.2,35149,35145,35168,35181,35180,35098,35181,35182,35179,35182,35179,35182,35180,35181,35181,35148
11.3,35148,35145,35169,35182,35180,35098,35180,35181,35179,35180,35179,35182,35180,35181,35180,35148
11.4,35148,35144,35168,35181,35180,35098,35179,35181,35179,35181,35178,35182,35180,35182,35182,35148
11.5,35148,35144,35168,35181,35180,35097,35180,35181,35179,35181,35178,35181,35180,35181,35180,35147
11.6,35149,35144,35169,35181,35180,35098,35180,35181,35178,35181,35178,35180,35180,35181,35180,35148
11.7,35148,35144,35169,35181,35179,35097,35180,35181,35178,35181,35178,35180,35180,35181,35181,35147
11.8,35148,35144,35168,35180,35179,35098,35180,35181,35179,35181,35177,35180,35179,35181,35180,35148
11.9,35147,35143,35168,35180,35179,35097,35179,35180,35178,35181,35178,35180,35179,35181,35181,35147
12,35147,35144,35168,35180,35179,35097,35180,35181,35179,35181,35178,35181,35179,35180,35180,35147
12.1,35147,35144,35168,35181,35179,35097,35179,35181,35178,35180,35177,35180,35178,35180,35181,35147
12.2,35148,35144,35168,35179,35179,35097,35179,35180,35177,35179,35178,35180,35180,35180,35180,35147
12.3,35147,35144,35169,35181,35180,35097,35180,35180,35178,35180,35177,35180,35179,35180,35180,35147
12.4,35147,35144,35169,35180,35180,35097,35179,35180,35179,35181,35177,35180,35179,35180,35180,35147
12.5,35147,35145,35168,35180,35179,35097,35180,35181,35178,35180,35176,35179,35179,35180,35179,35147
12.6,35147,35144,35168,35180,35179,35098,35179,35180,35178,35180,35176,35180,35179,35179,35179,35148
12.7,35148,35144,35168,35180,35178,35097,35179,35180,35177,35180,35177,35180,35179,35180,35180,35147
12.8,35147,35145,35168,35181,35179,35097,35179,35180,35178,35181,35176,35179,35179,35180,35180,35147
12.9,35146,35144,35167,35179,35179,35097,35179,35180,35178,35180,35177,35180,35178,35180,35179,35147
13,35148,35146,35168,35180,35179,35097,35179,35180,35178,35180,35176,35179,35179,35179,35179,35147
13.1,35147,35144,35168,35180,35178,35097,35179,35180,35178,35180,35178,35181,35179,35180,35179,35147
13.2,35147,35145,35168,35180,35178,35097,35178,35180,35177,35180,35176,35179,35177,35180,35179,35147
13.3,35147,35144,35167,35179,35179,35097,35178,35180,35178,35180,35176,35180,35179,35180,35179,35147
13.4,35146,35144,35167,35179,35178,35097,35178,35180,35178,35180,35176,35179,35178,35180,35178,35147
13.5,35146,35145,35167,35180,35179,35098,35178,35179,35177,35179,35176,35179,35178,35179,35179,35148
13.6,35146,35144,35167,35179,35178,35098,35178,35179,35177,35179,35176,35178,35178,35179,35178,35148
13.7,35146,35144,35167,35179,35178,35097,35178,35180,35177,35180,35176,35179,35178,35179,35179,35147
13.8,35147,35144,35167,35179,35179,35098,35178,35179,35177,35179,35176,35178,35177,35179,35178,35148
13.9,35146,35144,35166,35178,35179,35097,35178,35179,35177,35179,35176,35179,35177,35179,35179,35147
14,35147,35145,35166,35179,35178,35098,35178,35180,35178,35179,35176,35179,35178,35179,35179,35148
14.1,35147,35144,35167,35179,35178,35098,35178,35180,35176,35179,35175,35179,35177,35179,35178,35148
14.2,35146,35144,35166,35179,35178,35097,35178,35180,35177,35178,35176,35179,35178,35178,35178,35147
14.3,35147,35144,35166,35179,35177,35098,35178,35180,35178,35179,35176,35179,35177,35179,35179,35148
14.4,35145,35144,35166,35179,35178,35098,35178,35179,35177,35178,35176,35178,35176,35178,35177,35148
14.5,35146,35144,35167,35179,35178,35098,35177,35179,35176,35178,35176,35178,35177,35179,35178,35148
14.6,35146,35145,35166,35179,35177,35098,35178,35179,35176,35179,35175,35179,35177,35179,35179,35148
14.7,35146,35144,35166,35179,35177,35098,35177,35179,35177,35178,35174,35178,35177,35179,35179,35148
14.8,35146,35145,35167,35179,35178,35098,35178,35179,35177,35179,35176,35178,35177,35178,35178,35148
14.9,35146,35145,35166,35179,35177,35098,35178,35178,35177,35179,35175,35179,35177,35178,35178,35148
15,35145,35145,35166,35179,35178,35098,35178,35179,35177,35179,35175,35178,35177,35179,35180,35148
15.1,35145,35144,35166,35178,35177,35097,35178,35179,35177,35179,35175,35178,35177,35178,35177,35147
15.2,35145,35144,35166,35178,35177,35098,35177,35179,35176,35178,35176,35177,35177,35178,35179,35148
15.3,35145,35144,35166,35178,35177,35098,35179,35179,35177,35178,35175,35178,35177,35178,35178,35148
15.4,35146,35144,35166,35178,35177,35097,35177,35178,35176,35178,35174,35177,35177,35178,35177,35147
15.5,35145,35145,35166,35179,35178,35097,35177,35178,35176,35178,35174,35178,35177,35177,35178,35147
15.6,35145,35144,35165,35178,35176,35098,35177,35178,35176,35178,35174,35178,35177,35178,35177,35148
15.7,35145,35144,35166,35177,35177,35098,35178,35178,35176,35178,35175,35178,35176,35177,35176,35148
